"session","created","modified","ended","expired","id_genero","id_genero_otra","or_sexual","or_sexual_otra","sex_asignado","inter_sex","inst_01","inst_02","inst_03","interp_01a","interp_01b","interp_02a","interp_02b","interp_03a","interp_03b","interp_04","interp_05a","interp_05b","interp_06a","interp_06b","interp_07","tem_1","tem_2","tem_3","tem_4","hetcis_1","hetcis_2","hetcis_3","hetcis_4","hetcis_5"
"","2022-10-26 00:17:12","2022-10-26 00:19:25","2022-10-26 00:19:27","","1","","6","","2","2","","","","","","","","","","","","","","","","","","","","6","5","4","1","2"
"","2022-10-26 00:19:53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-26 00:21:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-26 00:21:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-26 00:25:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-26 19:47:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"jaw9dB7BrFWbb8qogprHvYV6A6tVs7F1tCmXW2canz0_U8PGgvvaWjmhRXpd5g-6","2022-10-27 13:47:06","2022-10-27 13:48:08","2022-10-27 13:48:08","","3","","6","","1","2","","","","","","","","","","","","","","","","","","","","4","3","2","2","2"
"aPzh9hpaxcDISfoxNnO45vp4T2Mc2lavUG9DUKPMO0jdmVylCXhIOvAz54Bq8NLX","2022-10-27 14:28:32","2022-10-27 14:29:19","2022-10-27 14:29:19","","1","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","",""
"","2022-10-27 17:47:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-27 17:50:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-27 18:00:55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-27 18:03:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ol0als8riQ08YddGU9yPeSIJxncgZALro6as2mJ196yTsMNbg7zlju3RtV3wFkyb","2022-10-27 19:37:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-27 20:40:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-27 20:44:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-27 21:26:29","2022-10-27 21:26:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-27 21:27:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-27 21:27:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-27 21:36:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-27 21:51:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-27 21:55:40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-10-27 22:01:59","2022-10-27 23:24:02","2022-10-27 23:24:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-27 22:13:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2022-10-28 02:46:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JeompKt-0bUnIN6gv879Ujghf5dSnLt0x7q7ijHpZ04puX5Rvgm8KeJR39Qqt27_","2022-10-28 15:30:01","2022-10-28 15:31:41","2022-10-28 15:31:42","","1","","6","","2","2","","","","","","","","","","","","","","","","","","","","3","3","2","2","2"
"pAeFcoeFvF6i5NKVaiT_WY235k41tAqu-27X04jwIPAydzFg_AIIsOW1iihxLEgd","2022-11-07 13:54:58","2022-11-07 13:55:35","2022-11-07 13:55:36","","3","","6","","1","2","","","","","","","","","","","","","","","","","","","","5","3","2","3","3"
"ipQ37SeIRFF8vKVPfftf1CXbxW_DWIuLkMa6H0r2adNjde4w-UuNoT_Mk3w8Xk7O","2022-11-07 19:28:40","2022-11-07 19:29:03","2022-11-07 19:29:03","","3","","6","","1","1","","","","","","","","","","","","","","","","","","","","6","5","1","1","1"
"nOVbWatuyq2a9G61Eb_9Y4qZx8VHZZp0GifDotxCVSaNo6FQMAANPuqS85-aRpZK","2022-11-07 20:04:03","2022-11-07 20:07:06","2022-11-07 20:07:06","","3","","6","","1","2","","","","","","","","","","","","","","","","","","","","5","2","1","1","1"
"oQb2tn1_GX02LTy6hTfVUtO9NW5TF3ghqmTgAYOg-ybA1VIOu4WyGPQfRAJ6tG3n","2022-11-08 23:35:07","2022-11-08 23:37:08","2022-11-08 23:37:09","","1","","6","","2","2","","","","","","","","","","","","","","","","","","","","5","4","2","3","3"
"2Vphslrs1mfFW-3jqFNOB5d0K4BIOej3toUuvuLTSAXG7FWTFQDjHrdw6Y97R5qh","2022-11-09 16:28:19","2022-11-09 16:33:01","2022-11-09 16:33:01","","3","","6","","1","2","","","","","","","","","","","","","","","","","","","","4","3","2","2","2"
"gWT5JYc0zZu079DaY01X0lkid7D1NO9i-xzZ6dW5blzVC-FBOhf3uuKNTloZKp45","2022-11-09 16:28:21","2022-11-09 16:34:49","2022-11-09 16:34:49","","1","","1","","2","2","4","3","2","1","1","1","1","1","1","1","1","1","1","1","2","2","4","2","2","","","","",""
"nFJ8u5BTuHEwn_w34ZXOpUMUuHO3Tum3SUhVzmysj3jNk2rHINcPAeojXWGmXiKs","2022-11-09 18:07:34","2022-11-09 18:09:28","2022-11-09 18:09:28","","3","","6","","1","2","","","","","","","","","","","","","","","","","","","","2","2","1","1","1"
"vbPNRKpRf0wyQllX37Pm_1BMMfpvXymCPaF3D0HS2JC_uDHEJI24mV_MynRTsE-i","2022-11-09 18:25:31","2022-11-09 18:28:33","2022-11-09 18:28:34","","3","","6","","1","2","","","","","","","","","","","","","","","","","","","","4","4","1","1","6"
"03RBzueWAifHMOGT3cwQQgC2Nq_tATxsSwDn5KsPEQtxjoMgoXNfGgKZoYUyRDQJ","2022-11-09 18:26:27","2022-11-10 19:43:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9w49hjErbgNS-y60uwYkeRmXKBTXtSvlIczre7v0ZhA02m2hZOMD3fI__7jx5syV","2022-11-09 18:38:23","2022-11-09 18:42:40","2022-11-09 18:42:40","","3","","3","","1","2","2","5","4","1","1","1","1","2","1","1","1","1","1","1","2","2","4","2","2","","","","",""
"psJjbfb3SHVXTN-Tp4Et8Dvb3k5MixNxV-p7dAXXlrfgW_a44BxeIi_1zcPwEPaL","2022-11-09 19:37:30","2022-11-09 19:39:28","2022-11-09 19:39:28","","1","","6","","2","2","","","","","","","","","","","","","","","","","","","","5","4","6","5","2"
"QiYMgXTMwvKpxj6bxNTcEHNXXia2J7TLck5FK0uhzqnu5JaOknUga32i7ak8qjWb","2022-11-09 19:41:43","2022-11-09 19:46:34","2022-11-09 19:46:35","","6","Genero fluido","4","","1","1","3","4","4","1","1","1","1","1","1","1","1","1","1","1","1","2","3","2","2","","","","",""
