"session","created","modified","ended","expired","satisfaccion_vida","familia_1","familia_2","familia_3","familia_3b","familia_4","e_civil","edad","carrera","anho_curs","pos_pol","opcion_pleb","interes_const","nacionalidad_1","nacionalidad_2","residencia","educ_padre","educ_madre","feedback"
"mTwjH2pD1-EPwXh-GQTrueBOdbr5BHz040CfyYSN04TJ2N4qf_4n9xF4RD0UDrCL","2022-11-15 17:09:00","2022-11-15 17:13:56","2022-11-15 17:13:56","","6","3","2","2","","1","1","24","4","2017","1","1","3","Chile","Chilena","Cerrillos ","1","3","En el item de democracia (dsps de las preguntas sobre democracia en chile) no queda del todo claro si se pregunta por la democracia chilena o el concepto teórico de democracia,"
"2eOwvJFS6kdBepqY1gzMssuN2MCSMArXiytTelfiozyX5tq4dodNk6zpbBRzlwge","2022-11-15 17:22:07","2022-11-15 17:23:48","2022-11-15 17:23:48","","5","2","2","2","","2","1","21","4","2019","2","1","5","Chile","Chilena","Ñuñoa","4","2",""
"wH7p_PKqUtA6e8ONrOxt5SM-nHUIL3HqHQHSGLIydHpyCKbIlxFyJi-S9vK5CMMm","2022-11-15 17:30:25","2022-11-15 17:32:15","2022-11-15 17:32:15","","7","5","2","2","","1","1","22","4","2015","3","1","3","Chile","Chilena","Huechuraba","2","5","Habían preguntas en la sección lgtbq+ que asumían identidad de género/sexual del entrevistade que no se señalaban como opcionales"
"WaDk-WJi8dnFU3IemajgmYU4T4EyAT6rpwVg3trKQZ-Nfh5c5pIerQ8ds0QRX7UV","2022-11-15 17:36:56","2022-11-15 17:40:19","2022-11-15 17:40:19","","7","6","2","2","","1","1","99","4","2019","5","5","1","Chile","Chile","Ns/Nr","3","2","Preguntas muy abiertas a interpretación "
"0xncM8LMqs7WO2kwGXSYMZcZDkR4XLVD5LP2hl0noZ06SNsDq-S4R4s1oyDkYAYQ","2022-11-15 18:09:18","2022-11-15 18:10:47","2022-11-15 18:10:48","","9","3","2","2","","1","1","23","4","2019","1","1","5","Chile","Chilena ","La Reina ","5","2",""
"_Y7Jk9klLNoqEbagImxVpcNfutQOTPEzwuqIuWsfCnvgIMgXEg1uNDnV1iuDF6Nm","2022-11-15 19:10:20","2022-11-15 19:11:43","2022-11-15 19:11:43","","7","3","2","2","","1","1","25","3","2016","2","1","4","Chile ","Chilena","La Florida","3","4",""
"4qL1lQ6lfDC4grN99Qfq1JEIt92lpt_KaX55gjHGoVkArAnUOhmTyv66Xs9YM62K","2022-11-15 19:30:40","2022-11-15 19:32:08","2022-11-15 19:32:08","","10","4","2","2","","1","1","22","1","2020","2","1","4","chile","chilena","providencia","2","2",""
"1vv2z9dEezRoU0FdlLrdBpxkSMvZJAxcCsq4X3nDhRr57S1yEjhsVSn43h1VF9up","2022-11-15 19:35:19","2022-11-15 19:37:08","2022-11-15 19:37:08","","7","2","2","2","","1","1","22","4","2020","0","1","4","Chile","chilena","quilicura","4","2",""
"-rxBjGnxGWNGa6PR506FUk1HsoFv5ufEK1ILTLCVExfpeN8gd6UZ1tQAtZXkf2jG","2022-11-15 20:50:52","2022-11-15 20:52:23","2022-11-15 20:52:23","","9","2","2","2","","1","1","21","4","2019","1","1","4","Chile","Chilena","Ñuñoa","4","4",""
"helpfulPygmyXXXWNaJQlj8a8Kvv_1cq9MYzq2Dm6F96-4H-kio4tY0HCPbVe9Q6","2022-11-15 20:55:03","2022-11-15 20:57:37","2022-11-15 20:57:37","","6","5","2","2","","1","1","22","4","2019","3","1","4","Chile","chilena","San Antonio","4","2",""
"ZUwndYrvvbSbnwbwak9ZcmFx2SgDIMuO22HYL9R_eWb1y-phieKN3jbWT1kwlSTc","2022-11-15 20:57:28","2022-11-15 20:58:12","2022-11-15 20:58:12","","10","1","","2","","2","1","21","4","2020","3","1","3","chile","chilena","santiago","2","1",""
