"session","created","modified","ended","expired","pregunta1","cuidado_tiempo","cuidado_1","cuidado_2","cuidado_3","cuidado_4","cuidado_5","cuidado_6","cuidado_7","cuidado_8","cuidado_9","cuidado_10","cuidado_11","cuidado_12","cuidado_multiple"
"vbPNRKpRf0wyQllX37Pm_1BMMfpvXymCPaF3D0HS2JC_uDHEJI24mV_MynRTsE-i","2022-11-09 18:16:11","2022-11-09 18:23:28","2022-11-09 18:23:28","","","","1","1","1","1","1","4","1","1","2","2","3","1",""
"03RBzueWAifHMOGT3cwQQgC2Nq_tATxsSwDn5KsPEQtxjoMgoXNfGgKZoYUyRDQJ","2022-11-09 18:18:06","2022-11-09 18:21:37","2022-11-09 18:21:37","","","","1","2","1","1","1","5","2","1","1","1","2","1",""
"9w49hjErbgNS-y60uwYkeRmXKBTXtSvlIczre7v0ZhA02m2hZOMD3fI__7jx5syV","2022-11-09 18:34:40","2022-11-09 18:36:32","2022-11-09 18:36:32","","","","1","1","1","1","1","3","1","1","2","2","2","1",""
"psJjbfb3SHVXTN-Tp4Et8Dvb3k5MixNxV-p7dAXXlrfgW_a44BxeIi_1zcPwEPaL","2022-11-09 19:33:20","2022-11-09 19:35:27","2022-11-09 19:35:27","","","","1","1","1","1","1","5","1","1","2","2","2","2",""
"QiYMgXTMwvKpxj6bxNTcEHNXXia2J7TLck5FK0uhzqnu5JaOknUga32i7ak8qjWb","2022-11-09 19:34:26","2022-11-09 19:38:36","2022-11-09 19:38:36","","","","1","1","1","1","1","4","1","1","1","2","3","1",""
"XO7-i4Z5i-oyuoAz-2xh083Up57hBWsYCQO4e5biiHZAHVxPYFhx3vFgD81TutxK","2022-11-09 20:04:14","2022-11-09 20:06:13","2022-11-09 20:06:13","","","","3","2","2","1","4","5","1","1","3","5","5","5",""
"_JkNw6BMiTiuW6CgkHJBCH2-giKwo1gKB-i6HvpzXnU9_GYY5QgHZEljFh_eivtR","2022-11-09 21:01:57","2022-11-09 21:03:22","2022-11-09 21:03:22","","","","3","3","2","2","4","1","1","1","1","1","3","3",""
"BISLT9aGtVKaui-xW3z22y81x0N4aTO-Kyp1suDU1S6DoDEa6unu_ABgfb3abmNU","2022-11-09 21:11:46","2022-11-09 21:14:19","2022-11-09 21:14:19","","","","1","1","1","1","1","4","3","1","1","1","5","1",""
"lMH1F6vQhemtz40-6pW8kwchYx90kHnVw4LzinhKLbpUs9B1vRnSXmwA6q_PnKIw","2022-11-09 21:52:10","2022-11-09 21:54:25","2022-11-09 21:54:25","","","","1","1","1","1","1","4","1","1","1","1","2","2",""
"B4uyhDmYYP2zqQkAdOjj_6mWpt4WoskldYmW2EEqjZb6sX4FjUttqs1pGppVapWt","2022-11-09 21:53:13","2022-11-09 21:54:43","2022-11-09 21:54:43","","","","1","1","1","1","1","4","1","1","1","1","1","1",""
"sFNiBJMz2C18lqD6Bfe4TlV0hYrcIX4kTerea0yZ0W6YRI1cNbPjqOILlx8qat_f","2022-11-09 22:12:06","2022-11-09 22:13:16","2022-11-09 22:13:16","","","","1","1","1","1","1","3","1","2","1","1","1","1",""
"PiX92aq5AxDVHMIgirQCiu3tmSMzfdmRl6cQW-A2JjJ4OhYFplo5W1HLt0cKOtTJ","2022-11-09 22:24:23","2022-11-09 22:24:42","2022-11-09 22:24:42","","","","1","1","1","1","1","2","1","1","1","1","1","1",""
"6RkKh0MjAqRrvjzvCwa245NkAXylq_ORZ1v4ESBWSmrdoS_bMRhAir-ZnIKqGcQH","2022-11-09 23:14:53","2022-11-09 23:15:35","2022-11-09 23:15:35","","","","1","5","1","1","1","3","1","1","1","1","1","1",""
"CcBJkU4CCxuHd7ZrOIcmCuXU6LuN-KXpIahnxsazBp2lKEj72jkGS7-FL_qVbzBQ","2022-11-09 23:29:48","2022-11-09 23:30:32","2022-11-09 23:30:32","","","","1","1","1","1","1","4","1","1","1","3","3","1",""
"MkQJKMSZHu4U6G2ot-S_tmPzaxpz19Jyxt8nhx6xw4lZhsdKZt2SN-wMR-BFJ50e","2022-11-09 23:45:41","2022-11-09 23:46:20","2022-11-09 23:46:20","","","","1","1","1","1","1","1","1","1","1","1","1","1",""
"zVxHjCvIBgjiXNTJ7i4fw6ekfZL_PeBtEWaag3Jis9DTqSd8Q0Nxx9TeAxV7goKn","2022-11-10 00:00:24","2022-11-10 00:01:23","2022-11-10 00:01:23","","","","1","1","1","1","1","1","1","1","1","1","1","1",""
"jKUzskwDcPgrxnQlhtIrh4-FTy1YgPUQdUw7Lx_ZqrN9cWRVZJf8SHsTdgo6LJvI","2022-11-10 01:23:42","2022-11-10 01:24:39","2022-11-10 01:24:39","","","","1","1","1","1","1","4","3","3","1","1","1","1",""
"DTbCiX7lAjALbfZ8m6Kh7Uj-5HAmdmk9aO2KgTSzoktpUhClH3kSBeKOzh3kr4vK","2022-11-10 02:22:25","2022-11-10 02:23:23","2022-11-10 02:23:23","","","","1","1","1","1","1","3","1","1","1","1","1","1",""
"FcgjJK01qDIc0jgZgze9DAZmdGO-glQoM27M7mPJ20wYvdm8FycS2NMITDv2kVo9","2022-11-10 04:53:32","2022-11-10 04:55:06","2022-11-10 04:55:06","","","","1","1","1","1","1","3","1","3","1","1","1","1",""
"9S0t-L7Hkwai8xxT49KdmG2FaGcJcbRCetZVxFVSFT2HYP3EYb8uFErK0m4sln6i","2022-11-10 10:28:38","2022-11-10 10:30:08","2022-11-10 10:30:08","","","","1","1","1","1","1","5","1","1","1","3","3","1",""
"nwiFbFok8Uz171cVzpZKQII529IUmPEQd69qMuUkgg7pDEf6i0HacsrkZnaBtfoI","2022-11-10 12:40:32","2022-11-10 12:41:38","2022-11-10 12:41:38","","","","1","1","1","1","1","3","1","2","1","3","3","1",""
"P48ZWldZsY_lFxHsj9mxu829hxhqsro55fer4tcHh5xM2WMtNeBPXmX0mlqcpo93","2022-11-10 12:57:50","2022-11-10 12:59:00","2022-11-10 12:59:00","","","","1","1","1","1","1","4","1","2","2","3","2","1",""
"nc5aeBLkSozHt4JjWxN1sFImgqpoBW1wewLByA2pS9lP5haVp7861kMy6ewJCRqQ","2022-11-10 13:00:28","2022-11-10 13:01:36","2022-11-10 13:01:36","","","","1","1","1","1","1","3","3","1","1","1","3","1",""
"hor_09K7H2kEHuktSQZJ05ULLiN6dak4ktUc_Qe5Qno4yQbDv-XhhkOpWs1yV9Og","2022-11-10 14:33:53","2022-11-10 14:35:59","2022-11-10 14:35:59","","","","1","1","1","1","1","4","1","1","1","1","1","1",""
"IDRelKEZ0iaFERPqxoz0VCS268b4ege5MpVKbUAFWwWRF0vR-lel7IZpRP5tuAMt","2022-11-10 14:51:22","2022-11-10 14:53:22","2022-11-10 14:53:22","","","","1","1","1","1","1","3","1","2","2","2","1","1",""
"bhFdxaNZuGa12CzwE7RJ3ai4uiBjWR5l5-lhC0plF0vAzlMTOa3b2JKd6vhVxp23","2022-11-10 15:07:34","2022-11-10 15:11:00","2022-11-10 15:11:00","","","","1","1","1","1","1","3","2","1","1","3","3","1",""
"jXwiY3JaEtnWbN6_i4h6xFJZFZV8_6xn8ZN-L6fb_P56fp6aKGPfCjNdKPnHIDPc","2022-11-10 15:38:40","2022-11-10 15:41:10","2022-11-10 15:41:10","","","","1","2","1","1","1","4","1","2","1","4","4","4",""
"b-DT3TtcnFxG8EoKvISUEZ6jEyafb7rSbGKodElbAHiCxXfQi7RDU-yppS281vGI","2022-11-10 15:39:54","2022-11-10 15:42:38","2022-11-10 15:42:38","","","","2","2","1","1","2","2","2","2","1","2","3","1",""
"0eFEvj4e3iiN0gQ_WHYXIQN03GRWMI3Hnwq1SBVEFLSXnQSWObkaO6JntiD9d5ZL","2022-11-10 15:41:46","2022-11-10 15:42:12","2022-11-10 15:42:12","","","","1","1","1","1","1","1","1","1","1","1","1","1",""
